ID,half_life
1401,NA
1402,NA
1403,NA
1404,5.431468108
1405,NA
1406,3.593695765
1407,NA
1408,NA
1409,NA
1410,141.0406828
1411,200.0062253
1413,NA
1414,NA
1415,158.5679108
1416,17.12595351
1417,NA
1418,NA
1420,68.05388274
1421,39.83344036
1423,104.2084072
1424,219.7293391
1426,103.1761264
1430,198.3338516
1431,NA
1432,NA
1433,NA
1434,73.31565663
1435,72.34966747
1436,31.75148729
1437,86.55498166
1438,15.24690437
1439,142.9851629
1440,NA
1442,9.430839576
1443,NA
1444,12.8124401
1445,165.9802809
1446,NA
1447,70.87903682
1448,98.77873853
1450,NA
1451,NA
1452,12.76644941
1453,NA
1455,NA
1456,69.98899851
1457,NA
1458,16.98643113
1459,NA
1460,NA
1461,62.04477353
1462,31.2921463
1463,261.5310986
1464,53.06940893
1465,NA
1467,6.291104346
1468,88.95016494
1469,45.20945015
1470,30.52464165
1471,NA
1472,NA
1473,NA
1474,NA
1475,152.791771
1476,140.6126984
1477,114.7879714
1478,NA
1479,NA
1480,140.920534
1481,NA
1482,104.7445536
1484,NA
1485,261.3756998
1486,237.8245437
1487,NA
1488,19.44261973
1489,217.592062
1490,24.64235505
1491,186.7685931
1492,NA
1493,72.32326407
1494,108.7760054
1498,41.1261309
1500,196.9235294
1501,252.2598267
1502,250.5396456
1503,22.24406657
1505,6.632274218
1506,222.8290572
1507,NA
1508,9.949010126
1509,22.21103569
1510,NA
1512,7.924807115
1515,316.971045
1517,NA
1518,NA
1519,7.16307604
1521,NA
1522,NA
1523,143.6860618
1524,54.55159078
1525,NA
1526,NA
1528,21.18600876
1529,17.10232728
1530,222.6903956
1531,22.68619423
1532,4.151980771
1533,NA
1534,143.7831778
1535,NA
1536,NA
1538,NA
1539,146.3405127
1540,NA
1541,NA
1542,42.30595385
1543,41.51909756
1545,26.49318481
1547,NA
1548,NA
1549,40.50574252
1550,NA
1551,6.965063203
1553,121.0355169
1554,262.4093814
1555,NA
1556,46.15321883
1557,NA
1558,NA
1559,42.74659912
1560,276.9084542
1561,NA
1562,65.69790142
1563,114.9471001
1564,204.5225718
1565,434.4960505
1566,295.448372
1567,NA
1568,146.5373645
1570,38.51374761
1572,17.55539707
1573,NA
1574,NA
1575,20.82306683
